CACHED  makinterface/MAKI-PRO.ZIP  22789 bytes  sha256 ff118d9a85fca23a  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/dms.zip  1456901 bytes  sha256 39087786951df397  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/DMS_EN.ZIP  217895 bytes  sha256 11781ec733ccb80a  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/DMS_DE.ZIP  218633 bytes  sha256 5f362a26cef10543  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/IC-PROG.ZIP  112982 bytes  sha256 c0b196c637886b63  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/PONYPROG.ZIP  93213 bytes  sha256 910745d4966cd0a6  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/MAKITEST.ZIP  378036 bytes  sha256 c2edd734aab88b95  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/SMARTCRD.ZIP  329575 bytes  sha256 a6369879cd716243  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/Adapter.zip  365821 bytes  sha256 877b87601508d4db  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/Pinout.zip  7109 bytes  sha256 30234d80e3b60cfb  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/MANUAL.ZIP  385763 bytes  sha256 948e7310f105047d  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/MANUAL-D.ZIP  566887 bytes  sha256 dca29e3959ac90dd  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/MAKS_DE.ZIP  285089 bytes  sha256 03402504f9d23a30  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/MAKS_EN.ZIP  951039 bytes  sha256 5d5e52c30cb202f7  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/MaksAct.zip  1692002 bytes  sha256 41cfc2b27805746d  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/MAKI_DE.ZIP  3054667 bytes  sha256 5612061590f8d613  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/MAKI_EN.ZIP  2607414 bytes  sha256 e38f4c6725cd0978  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/SCPROG.ZIP  2223763 bytes  sha256 bb75a1cd4d84b5f3  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/PRSC.ZIP  2223763 bytes  sha256 bb75a1cd4d84b5f3  (matches PROVENANCE.md; not re-downloaded)
CACHED  makinterface/makstripe.zip  2340397 bytes  sha256 4b63cbe7f271c3c2  (matches PROVENANCE.md; not re-downloaded)
CACHED  digitallab/MAKI.RDC  1086 bytes  sha256 12afde4eb74f062f  (matches PROVENANCE.md; not re-downloaded)
CACHED  digitallab/MAGSR099.ZIP  345194 bytes  sha256 56c4500bb5fac69b  (matches PROVENANCE.md; not re-downloaded)
CACHED  digitallab/PCSC.TXT  868 bytes  sha256 c3897a1e6320d9a7  (matches PROVENANCE.md; not re-downloaded)
CACHED  digitallab/UCE32.ZIP  273781 bytes  sha256 a0e586e7bf43d6d0  (matches PROVENANCE.md; not re-downloaded)
CACHED  digitallab/SCE-202.ZIP  409526 bytes  sha256 a8198b42d69b141b  (matches PROVENANCE.md; not re-downloaded)
CACHED  digitallab/VB6LIB.ZIP  1048292 bytes  sha256 3010b936629a06a2  (matches PROVENANCE.md; not re-downloaded)
CACHED  digitallab/FT50V099.ZIP  386307 bytes  sha256 95aeefaa9f8398f6  (matches PROVENANCE.md; not re-downloaded)
CACHED  digitallab/GK-102.ZIP  332261 bytes  sha256 6e316f980fa1ad02  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/avrprogrammer.zip  51069 bytes  sha256 16e807f3ec181cdd  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/avrsetup.zip  70758 bytes  sha256 876497f84feb40c5  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/avrskels.zip  2173 bytes  sha256 dbe8d70084a38227  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/disavr121.zip  19024 bytes  sha256 92bf4f8db2a9b35f  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/at90sart.zip  10188 bytes  sha256 2f7835b12bf6f808  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/newbieprogramming.zip  7138 bytes  sha256 afa679bad73d397b  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/prginst.zip  5819 bytes  sha256 51ce8d3981b0f18e  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/99info.zip  29800 bytes  sha256 114a96add93a4b3a  (matches PROVENANCE.md; not re-downloaded)
CACHED  dr7/esfaq103199.zip  24621 bytes  sha256 4ee598c257741a6a  (matches PROVENANCE.md; not re-downloaded)
CACHED  hackhu/9pincom.htm  1984 bytes  sha256 3f99a24e4c9c4d21  (matches PROVENANCE.md; not re-downloaded)
CACHED  hackhu/about.htm  16489 bytes  sha256 b5f16742da7f3879  (matches PROVENANCE.md; not re-downloaded)
CACHED  glinet/openwrt-mt300n-v2-3.203-0805.bin  12583196 bytes  sha256 111faa8e4b19a6de  (matches PROVENANCE.md; not re-downloaded)
FAIL  live/basiccard-download.htm  https://www.basiccard.zeitcontrol.de/download.htm  (URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.basiccard.zeitcontrol.de'. (_ssl.c:1000)>)
FAIL  live/gl-inet-mt300n-v2-3.204-1112.bin  https://fw.gl-inet.com/firmware/mt300n-v2/testing/openwrt-mt300n-v2-3.204-1112.bin  (HTTP 404)
